author
Siska Leontyne 【NIJISANJI / にじさんじ】
Reza Avanluna 【NIJISANJI / にじさんじ】
Anya Melfissa Ch. hololive-ID
Rai Galilei【NIJISANJI / にじさんじ】
Andi Adinata【MAHA5】
ZEA Cornelia【NIJISANJI】
Kevin Vangardo【MAHA5】
Airani Iofifteen Channel hololive-ID
Nia Redalion【MAHA5】
Bonnivier Pranaja 【NIJISANJI /  にじさんじ】
Hyona Elatiora【NIJISANJI / にじさんじ】
Alia Adelia【MAHA5】
Derem Kado 【にじさんじ / NIJISANJI】
Miyu Ottavia 【NIJISANJI / にじさんじ】
Ayunda Risu Ch. hololive-ID
Moona Hoshinova hololive-ID
Vestia Zeta Ch. hololive-ID
Zen Gunawan【MAHA5】
Kureiji Ollie Ch. hololive-ID
Taka Radjiman【NIJISANJI / にじさんじ】
Kaela Kovalskia Ch. hololive-ID
Mika Melatika【NIJISANJI・にじさんじ】
Lumi Celestia【MAHA5】
Pavolia Reine Ch. hololive-ID
Nagisa Arcinia【NIJISANJI・にじさんじ】
Etna Crimson【NIJISANJI / にじさんじ】
Kobo Kanaeru Ch. hololive-ID
Rena Anggraeni【MAHA5】
Azura Cecillia Ch.
Riksa Dhirendra【NIJISANJI】
Xia Ekavira【NIJISANJI / にじさんじ】
Nara Haramaung【 NIJISANJI / にじさんじ 】
Hana Macchia Ch.【NIJISANJI・にじさんじ】
Amicia Michella【NIJISANJI / にじさんじ】
NANARIKA Channel
Layla Alstroemeria【NIJISANJI / にじさんじ】
