
="Rai Galilei【NIJISANJI / にじさんじ】",="-0.217**",="-0.452***",="-0.591***",="-0.155",="-0.324***"
="",="(0.10)",="(0.10)",="(0.11)",="(0.10)",="(0.10)"

="Rena Anggraeni【MAHA5】",="-0.977***",="-0.823***",="-0.824***",="-1.150***",="-1.047***"
="",="(0.26)",="(0.26)",="(0.26)",="(0.26)",="(0.25)"

="Reza Avanluna 【NIJISANJI / にじさんじ】",="-0.782***",="-0.720***",="-0.607***",="-0.739***",="-0.691***"
="",="(0.10)",="(0.10)",="(0.10)",="(0.10)",="(0.10)"

="Riksa Dhirendra【NIJISANJI】",="-0.887***",="-0.949***",="-0.947***",="-0.931**",="-0.979**"
="",="(0.33)",="(0.34)",="(0.36)",="(0.38)",="(0.39)"

="Siska Leontyne 【NIJISANJI / にじさんじ】",="0.0446",="0.0974",="0.122",="0.0463",="0.0852"
="",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)"

="Taka Radjiman【NIJISANJI / にじさんじ】",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Vestia Zeta Ch. hololive-ID",="1.186***",="1.263***",="1.322***",="1.072***",="1.123***"
="",="(0.27)",="(0.26)",="(0.25)",="(0.26)",="(0.25)"

="Xia Ekavira【NIJISANJI / にじさんじ】",="-0.505*",="-0.368",="-0.326",="-0.442",="-0.338"
="",="(0.28)",="(0.28)",="(0.29)",="(0.29)",="(0.29)"

="ZEA Cornelia【NIJISANJI】",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Zen Gunawan【MAHA5】",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Duolingo",="-0.208***",="-0.193***",="-0.199***",="-0.155**",="-0.141**"
="",="(0.06)",="(0.06)",="(0.06)",="(0.06)",="(0.07)"

="Fall Guys",="-0.299***",="-0.288***",="-0.310***",="-0.302***",="-0.294***"
="",="(0.10)",="(0.10)",="(0.10)",="(0.09)",="(0.09)"

="Freetalk",="-0.126",="-0.119",="-0.136",="-0.121",="-0.116"
="",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.10)"

="Genshin/Honkai",="-0.740**",="-0.727**",="-0.719**",="-0.821**",="-0.816**"
="",="(0.33)",="(0.33)",="(0.33)",="(0.35)",="(0.34)"

="Karaoke",="0.145",="0.147",="0.139",="0.158*",="0.160*"
="",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)"

="Minecraft",="0.337**",="0.339**",="0.321**",="0.330**",="0.331**"
="",="(0.14)",="(0.14)",="(0.14)",="(0.14)",="(0.14)"

="Music",="0.989***",="0.985***",="0.977***",="0.991***",="0.988***"
="",="(0.30)",="(0.30)",="(0.30)",="(0.30)",="(0.30)"

="Others",="0.0424",="0.0441",="0.0343",="0.0432",="0.0446"
="",="(0.07)",="(0.07)",="(0.07)",="(0.07)",="(0.07)"

="Phasmo",="0.0490",="0.0497",="0.0365",="0.0868",="0.0894"
="",="(0.13)",="(0.13)",="(0.13)",="(0.13)",="(0.14)"

="Valorant",="-0.141",="-0.144",="-0.141",="-0.171",="-0.175"
="",="(0.31)",="(0.31)",="(0.32)",="(0.31)",="(0.31)"

="Watchalong",="0.160**",="0.121",="0.146*",="0.0311",="-0.00475"
="",="(0.08)",="(0.08)",="(0.08)",="(0.08)",="(0.08)"

="Alia Adelia【MAHA5】 # Duolingo",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Alia Adelia【MAHA5】 # Fall Guys",="0.688***",="0.665**",="0.665**",="0.753***",="0.739***"
="",="(0.27)",="(0.28)",="(0.27)",="(0.23)",="(0.24)"

="Alia Adelia【MAHA5】 # Freetalk",="-0.411*",="-0.442**",="-0.438**",="-0.348*",="-0.367*"
="",="(0.21)",="(0.22)",="(0.21)",="(0.20)",="(0.21)"

="Alia Adelia【MAHA5】 # Genshin/Honkai",="0.948**",="0.914**",="0.917**",="1.060***",="1.041***"
="",="(0.39)",="(0.39)",="(0.39)",="(0.40)",="(0.40)"

="Alia Adelia【MAHA5】 # Karaoke",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Alia Adelia【MAHA5】 # Minecraft",="0.216",="0.199",="0.229",="0.262",="0.253"
="",="(0.24)",="(0.25)",="(0.25)",="(0.24)",="(0.25)"

="Alia Adelia【MAHA5】 # Music",="0.713*",="0.704*",="0.716*",="0.735**",="0.729**"
="",="(0.37)",="(0.38)",="(0.37)",="(0.36)",="(0.37)"

="Alia Adelia【MAHA5】 # Others",="0.489***",="0.472**",="0.490***",="0.514***",="0.503***"
="",="(0.18)",="(0.19)",="(0.18)",="(0.16)",="(0.17)"

="Alia Adelia【MAHA5】 # Phasmo",="0.525",="0.504",="0.524*",="0.512",="0.496"
="",="(0.33)",="(0.34)",="(0.32)",="(0.35)",="(0.36)"

="Alia Adelia【MAHA5】 # Valorant",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Alia Adelia【MAHA5】 # Watchalong",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Duolingo",="0.472",="0.448",="0.453",="0.463",="0.445"
="",="(0.30)",="(0.30)",="(0.29)",="(0.30)",="(0.30)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Fall Guys",="0.533***",="0.506***",="0.513***",="0.523***",="0.502***"
="",="(0.19)",="(0.19)",="(0.18)",="(0.19)",="(0.19)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Freetalk",="0.235**",="0.220*",="0.229*",="0.213*",="0.200"
="",="(0.12)",="(0.12)",="(0.12)",="(0.12)",="(0.12)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Genshin/Honkai",="0.847**",="0.825**",="0.816**",="0.967***",="0.958***"
="",="(0.34)",="(0.34)",="(0.34)",="(0.35)",="(0.35)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Karaoke",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Minecraft",="-0.0121",="-0.0157",="-0.00821",="-0.0753",="-0.0815"
="",="(0.15)",="(0.16)",="(0.15)",="(0.16)",="(0.16)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Music",="0.961**",="0.957**",="0.958**",="0.958**",="0.955**"
="",="(0.45)",="(0.45)",="(0.45)",="(0.45)",="(0.46)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Others",="-0.0206",="-0.0264",="-0.0243",="-0.0597",="-0.0661"
="",="(0.09)",="(0.09)",="(0.09)",="(0.10)",="(0.10)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Phasmo",="0.449***",="0.450***",="0.460***",="0.362**",="0.358**"
="",="(0.16)",="(0.16)",="(0.16)",="(0.17)",="(0.17)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Valorant",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Amicia Michella【NIJISANJI / にじさんじ】 # Watchalong",="-1.103***",="-1.061***",="-1.087***",="-1.001***",="-0.965***"
="",="(0.16)",="(0.16)",="(0.16)",="(0.17)",="(0.17)"

="Andi Adinata【MAHA5】 # Duolingo",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Andi Adinata【MAHA5】 # Fall Guys",="1.967***",="1.872***",="1.871***",="2.072***",="2.009***"
="",="(0.39)",="(0.40)",="(0.37)",="(0.45)",="(0.47)"

="Andi Adinata【MAHA5】 # Freetalk",="1.254",="1.219",="1.204",="1.332",="1.311"
="",="(0.86)",="(0.86)",="(0.86)",="(0.87)",="(0.87)"

="Andi Adinata【MAHA5】 # Genshin/Honkai",="1.527***",="1.402***",="1.409***",="1.618***",="1.532***"
="",="(0.34)",="(0.34)",="(0.34)",="(0.36)",="(0.35)"

="Andi Adinata【MAHA5】 # Karaoke",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Andi Adinata【MAHA5】 # Minecraft",="1.057***",="0.969***",="0.971***",="1.190***",="1.132***"
="",="(0.18)",="(0.18)",="(0.18)",="(0.18)",="(0.18)"

="Andi Adinata【MAHA5】 # Music",="2.127***",="2.068***",="2.047***",="2.243***",="2.207***"
="",="(0.33)",="(0.33)",="(0.33)",="(0.33)",="(0.33)"

="Andi Adinata【MAHA5】 # Others",="1.460***",="1.377***",="1.367***",="1.563***",="1.507***"
="",="(0.09)",="(0.09)",="(0.09)",="(0.09)",="(0.09)"

="Andi Adinata【MAHA5】 # Phasmo",="1.169***",="1.062***",="1.067***",="1.221***",="1.145***"
="",="(0.25)",="(0.25)",="(0.26)",="(0.23)",="(0.23)"

="Andi Adinata【MAHA5】 # Valorant",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Andi Adinata【MAHA5】 # Watchalong",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="Anya Melfissa Ch. hololive-ID # Duolingo",="0.908**",="0.862**",="0.913**",="0.825**",="0.786**"
="",="(0.36)",="(0.36)",="(0.36)",="(0.35)",="(0.35)"

="Anya Melfissa Ch. hololive-ID # Fall Guys",="1.013***",="0.967***",="1.023***",="0.903***",="0.863***"
="",="(0.17)",="(0.17)",="(0.16)",="(0.16)",="(0.16)"

="Anya Melfissa Ch. hololive-ID # Freetalk",="0.435**",="0.395**",="0.453**",="0.393*",="0.362*"
="",="(0.20)",="(0.20)",="(0.20)",="(0.20)",="(0.20)"

